Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Alberta,Calgary Zone,Bladder Cancer Surgery,50th Percentile,2008,Days,25.0
Provincial,Alberta,Calgary Zone,Bladder Cancer Surgery,90th Percentile,2008,Days,60.0
Provincial,Alberta,Calgary Zone,Bladder Cancer Surgery,Volume,2008,Number of cases,254.0
Provincial,Alberta,Calgary Zone,Breast Cancer Surgery,50th Percentile,2008,Days,19.0
Provincial,Alberta,Calgary Zone,Breast Cancer Surgery,90th Percentile,2008,Days,42.0
Provincial,Alberta,Calgary Zone,Breast Cancer Surgery,Volume,2008,Number of cases,333.0
Provincial,Alberta,Calgary Zone,CABG,% Meeting Benchmark,2008,Proportion,99.0
Provincial,Alberta,Calgary Zone,CABG,50th Percentile,2008,Days,7.0
Provincial,Alberta,Calgary Zone,CABG,90th Percentile,2008,Days,83.0
Provincial,Alberta,Calgary Zone,CABG,Volume,2008,Number of cases,208.0
Provincial,Alberta,Calgary Zone,Cataract surgery,% Meeting Benchmark,2008,Proportion,71.0
Provincial,Alberta,Calgary Zone,Cataract surgery,50th Percentile,2008,Days,70.0
Provincial,Alberta,Calgary Zone,Cataract surgery,90th Percentile,2008,Days,199.0
Provincial,Alberta,Calgary Zone,Cataract surgery,Volume,2008,Number of cases,548.0
Provincial,Alberta,Calgary Zone,Colorectal Cancer Surgery,50th Percentile,2008,Days,20.0
Provincial,Alberta,Calgary Zone,Colorectal Cancer Surgery,90th Percentile,2008,Days,45.5
Provincial,Alberta,Calgary Zone,Colorectal Cancer Surgery,Volume,2008,Number of cases,237.5
Provincial,Alberta,Calgary Zone,CT Scan,50th Percentile,2008,Days,10.0
Provincial,Alberta,Calgary Zone,CT Scan,90th Percentile,2008,Days,39.0
Provincial,Alberta,Calgary Zone,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,84.0
Provincial,Alberta,Calgary Zone,Hip Fracture Repair,50th Percentile,2008,Days,0.96
Provincial,Alberta,Calgary Zone,Hip Fracture Repair,90th Percentile,2008,Days,2.5
Provincial,Alberta,Calgary Zone,Hip Fracture Repair,Volume,2008,Number of cases,390.0
Provincial,Alberta,Calgary Zone,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,80.0
Provincial,Alberta,Calgary Zone,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Days,1.12
Provincial,Alberta,Calgary Zone,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Days,2.17
Provincial,Alberta,Calgary Zone,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,177.0
Provincial,Alberta,Calgary Zone,Hip Replacement,% Meeting Benchmark,2008,Proportion,77.0
Provincial,Alberta,Calgary Zone,Hip Replacement,50th Percentile,2008,Days,103.0
Provincial,Alberta,Calgary Zone,Hip Replacement,90th Percentile,2008,Days,255.0
Provincial,Alberta,Calgary Zone,Hip Replacement,Volume,2008,Number of cases,239.0
Provincial,Alberta,Calgary Zone,Knee Replacement,% Meeting Benchmark,2008,Proportion,72.0
Provincial,Alberta,Calgary Zone,Knee Replacement,50th Percentile,2008,Days,123.0
Provincial,Alberta,Calgary Zone,Knee Replacement,90th Percentile,2008,Days,299.0
Provincial,Alberta,Calgary Zone,Knee Replacement,Volume,2008,Number of cases,294.0
Provincial,Alberta,Calgary Zone,Lung Cancer Surgery,50th Percentile,2008,Days,22.0
Provincial,Alberta,Calgary Zone,Lung Cancer Surgery,90th Percentile,2008,Days,54.0
Provincial,Alberta,Calgary Zone,Lung Cancer Surgery,Volume,2008,Number of cases,127.0
Provincial,Alberta,Calgary Zone,MRI Scan,50th Percentile,2008,Days,41.0
Provincial,Alberta,Calgary Zone,MRI Scan,90th Percentile,2008,Days,136.0
Provincial,Alberta,Calgary Zone,Prostate Cancer Surgery,50th Percentile,2008,Days,41.0
Provincial,Alberta,Calgary Zone,Prostate Cancer Surgery,90th Percentile,2008,Days,94.0
Provincial,Alberta,Calgary Zone,Prostate Cancer Surgery,Volume,2008,Number of cases,101.0
Provincial,Alberta,Calgary Zone,Radiation Therapy,% Meeting Benchmark,2008,Proportion,97.0
Provincial,Alberta,Calgary Zone,Radiation Therapy,50th Percentile,2008,Days,9.0
Provincial,Alberta,Calgary Zone,Radiation Therapy,90th Percentile,2008,Days,22.0
Provincial,Alberta,Calgary Zone,Radiation Therapy,Volume,2008,Number of cases,393.0
Provincial,British Columbia,Fraser Health,Bladder Cancer Surgery,50th Percentile,2008,Days,25.0
Provincial,British Columbia,Fraser Health,Bladder Cancer Surgery,90th Percentile,2008,Days,60.0
Provincial,British Columbia,Fraser Health,Bladder Cancer Surgery,Volume,2008,Number of cases,254.0
Provincial,British Columbia,Fraser Health,Breast Cancer Surgery,50th Percentile,2008,Days,19.0
Provincial,British Columbia,Fraser Health,Breast Cancer Surgery,90th Percentile,2008,Days,42.0
Provincial,British Columbia,Fraser Health,Breast Cancer Surgery,Volume,2008,Number of cases,333.0
Provincial,British Columbia,Fraser Health,CABG,% Meeting Benchmark,2008,Proportion,91.0
Provincial,British Columbia,Fraser Health,CABG,50th Percentile,2008,Days,43.0
Provincial,British Columbia,Fraser Health,CABG,90th Percentile,2008,Days,109.0
Provincial,British Columbia,Fraser Health,CABG,Volume,2008,Number of cases,208.0
Provincial,British Columbia,Fraser Health,Cataract surgery,% Meeting Benchmark,2008,Proportion,78.0
Provincial,British Columbia,Fraser Health,Cataract surgery,50th Percentile,2008,Days,55.0
Provincial,British Columbia,Fraser Health,Cataract surgery,90th Percentile,2008,Days,171.0
Provincial,British Columbia,Fraser Health,Cataract surgery,Volume,2008,Number of cases,548.0
Provincial,British Columbia,Fraser Health,Colorectal Cancer Surgery,50th Percentile,2008,Days,20.0
Provincial,British Columbia,Fraser Health,Colorectal Cancer Surgery,90th Percentile,2008,Days,45.5
